Stock Name,User Prompt
MSFT,Tell me about the current performance of Microsoft.
MSFT,What's the latest news on Microsoft Corporation?
MSFT,Give me an overview of Microdoft for the past week.
MSFT,What are the recent developments for msft?
MSFT,How has microsoft been performing compared to the market?
MSFT,Tell me the stock price trend for msft over the last month.
MSFT,What's the 52-week high and low for Microsoft?
MSFT,Give me a summary of the latest earnings report for Microsoft Corporation.
MSFT,What analysts are saying about Microdoft right now?
MSFT,Tell me about any upcoming events or announcements for msft.
MSFT,How has microsoft performed historically?
MSFT,What is the current dividend yield for msft?
MSFT,What's the market sentiment regarding Microsoft?
MSFT,Give me insights into the technical analysis of Microsoft Corporation.
MSFT,Tell me about the recent insider trading activities for Microdoft.
MSFT,What is the debt-to-equity ratio of msft?
MSFT,How is the stock valuation for microsoft calculated?
MSFT,Give me information on the leadership team of msft.
MSFT,What are the major competitors of Microsoft in the market?
MSFT,Tell me about any recent partnerships or collaborations involving Microsoft Corporation.
MSFT,What is the market cap of Microdoft currently?
MSFT,How does the beta of msft compare to its industry average?
AAPL,Provide me with the latest financial statements for Apple.
AAPL,What are the growth prospects for apple in the coming years?
AAPL,Tell me about any recent stock buybacks by AAPL.
AAPL,What is the short interest in Apple Inc. right now?
AAPL,Give me a breakdown of institutional ownership for Aple.
AAPL,How has the stock price of aapl been affected by recent economic trends?
AAPL,Tell me about any upcoming regulatory changes affecting Apple.
AAPL,What is the P/E ratio for apple compared to its industry peers?
AAPL,How has the stock of AAPL responded to recent news events?
AAPL,Provide me with a summary of the latest quarterly earnings for Apple Inc..
AAPL,What is the current cash flow situation for Aple?
AAPL,Tell me about the long-term debt structure of aapl.
AAPL,How has Apple performed in comparison to the sector index?
AAPL,Give me information on any recent acquisitions made by apple.
AAPL,What are the risks and challenges facing AAPL currently?
AAPL,Tell me about the dividend history of Apple Inc..
AAPL,How does the revenue growth of Aple compare to industry averages?
AAPL,Provide me with a summary of the latest conference call for aapl.
AAPL,What is the return on equity (ROE) for Apple?
AAPL,How has apple adapted to recent industry trends?
AAPL,Tell me about the current product/service lineup of AAPL.
AAPL,Give me insights into the R&D investments made by Apple Inc..
NVDA,What is the current price-to-sales ratio for NVIDIA?
NVDA,How does the net profit margin of nvidia compare to competitors?
NVDA,Tell me about any recent legal issues or lawsuits involving NVDA.
NVDA,Provide me with information on the international market presence of NVIDIA Corp.
